"","pval","qval","AIC","BIC"
"1",9,6,1026.97511933096,1079.07852305072
"2",10,7,1030.24284488395,1087.55658897568
"3",8,8,1032.30470148551,1087.01327539126
"4",8,3,1032.91402455184,1074.59674752765
"5",10,3,1033.49992021611,1080.3929835639
"6",10,5,1034.31568823461,1086.41909195437
"7",9,3,1034.51681930496,1078.80471246676
"8",9,4,1035.12298484845,1082.01604819623
"9",10,1,1039.55077644204,1081.23349941785
"10",3,2,1039.63991834052,1065.6916202004
"11",10,2,1041.09147804017,1085.37937120196
"12",0,7,1041.32500749521,1072.58704972707
"13",4,4,1041.43579348019,1075.30300589804
"14",0,8,1041.44354059556,1075.3107530134
"15",6,6,1041.88993516121,1086.177828323
"16",6,4,1042.34436383674,1081.42191662656
"17",4,0,1042.37238692724,1065.81891860113
"18",0,10,1042.76838073242,1081.84593352225
"19",0,9,1042.84761987151,1079.32000247534
"20",0,4,1043.20513566553,1066.65166733942
"21",3,1,1043.32251739129,1066.76904906519
"22",7,6,1043.8532610128,1090.74632436059
"23",0,5,1043.940557116,1069.99225897588
"24",3,3,1043.95572339149,1072.61259543736
"25",8,2,1044.16235348096,1083.23990627078
"26",7,4,1044.20569823924,1085.88842121505
"27",5,0,1044.25395097651,1070.30565283639
"28",4,1,1044.29198886284,1070.34369072272
"29",10,4,1044.76534021825,1094.26357375202
"30",5,2,1045.03789530787,1076.29993753973
"31",5,3,1045.05774526787,1078.92495768572
"32",1,4,1045.06617645485,1071.11787831473
"33",9,2,1045.4419358164,1087.12465879221
"34",0,6,1045.67322698987,1074.33009903574
"35",8,6,1045.68579235834,1095.18402589211
"36",4,3,1045.83500663762,1077.09704886948
"37",6,0,1046.11518693164,1074.77205897751
"38",5,1,1046.11581639674,1074.77268844261
"39",4,2,1046.17391290836,1074.83078495423
"40",6,2,1046.47185925755,1080.3390716754
"41",5,4,1046.60659840504,1083.07898100888
"42",6,3,1046.78440626523,1083.25678886906
"43",5,5,1046.78664842141,1085.86420121123
"44",9,7,1047.66329496314,1102.37186886889
"45",8,7,1047.78216252272,1099.88556624248
"46",7,0,1047.96942521202,1079.23146744388
"47",6,1,1048.04261789758,1079.30466012944
"48",7,1,1048.11239477716,1081.979607195
"49",10,0,1048.17109574967,1087.24864853949
"50",7,2,1048.53681651404,1085.00919911787
"51",7,3,1048.5843513968,1087.66190418662
"52",6,5,1048.78106862191,1090.46379159772
"53",1,0,1049.0253801148,1064.65640123073
"54",9,8,1049.57471235554,1106.88845644728
"55",10,9,1049.8908715391,NA
"56",8,1,1049.92785680384,1086.40023940767
"57",8,0,1049.94490539462,1083.81211781247
"58",8,5,1050.45485519553,1097.34791854331
"59",9,1,1050.75139048787,1089.82894327769
"60",9,0,1051.01916057034,1087.49154317417
"61",9,9,1051.06843137477,1110.9873456525
"62",7,5,1051.54991620338,1095.83780936518
"63",9,5,1054.44886968997,1103.94710322374
"64",1,1,1055.09435504672,NA
"65",0,2,1057.94350685086,NA
"66",2,0,1059.87829306801,NA
"67",0,1,1060.5897436766,NA
"68",2,2,1061.10611135479,NA
"69",2,1,1062.17874250366,NA
"70",0,3,1062.20029796846,NA
"71",1,2,1062.36050964695,NA
"72",3,0,1062.99826792896,NA
"73",3,4,NA,1064.65640123073
"74",10,6,NA,1064.65640123073
"75",4,8,NA,1064.65640123073
"76",7,9,NA,1064.65640123073
"77",10,10,NA,1064.65640123073
"78",0,0,NA,NA
"79",1,3,NA,NA
"80",2,3,NA,NA
"81",2,4,NA,NA
"82",8,4,NA,NA
"83",1,5,NA,NA
"84",2,5,NA,NA
"85",3,5,NA,NA
"86",4,5,NA,NA
"87",1,6,NA,NA
"88",2,6,NA,NA
"89",3,6,NA,NA
"90",4,6,NA,NA
"91",5,6,NA,NA
"92",1,7,NA,NA
"93",2,7,NA,NA
"94",3,7,NA,NA
"95",4,7,NA,NA
"96",5,7,NA,NA
"97",6,7,NA,NA
"98",7,7,NA,NA
"99",1,8,NA,NA
"100",2,8,NA,NA
"101",3,8,NA,NA
"102",5,8,NA,NA
"103",6,8,NA,NA
"104",7,8,NA,NA
"105",10,8,NA,NA
"106",1,9,NA,NA
"107",2,9,NA,NA
"108",3,9,NA,NA
"109",4,9,NA,NA
"110",5,9,NA,NA
"111",6,9,NA,NA
"112",8,9,NA,NA
"113",1,10,NA,NA
"114",2,10,NA,NA
"115",3,10,NA,NA
"116",4,10,NA,NA
"117",5,10,NA,NA
"118",6,10,NA,NA
"119",7,10,NA,NA
"120",8,10,NA,NA
"121",9,10,NA,NA
